image_path,L*,a*,b*,position_score
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1047_light.jpg,123.28612436486941,179.70416774927563,178.01656727988262,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_0996.jpg,117.73118343595154,161.49712386883766,155.13841049054653,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1101_light.jpg,118.29322373721865,157.18825749821534,158.46605274536512,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1027_dark.jpg,83.90024225836167,151.08301461981398,154.5468467045383,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1026_dark.jpg,92.16882220673763,152.11173270909444,157.53878372819034,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1108.jpg,104.96869947824808,176.62579727589338,176.111350925401,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1134.jpg,90.02100236796107,169.6206342973146,160.37547684004159,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1120.jpg,119.72212142476589,175.0127698648904,182.2840681459698,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1029_light.jpg,135.17012839086252,149.32841484394683,160.2648075482122,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1083.jpg,110.20825172758147,144.5947667502572,155.20422442221488,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1097.jpg,111.22906701743197,150.84090905362916,150.31416434725895,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_0991_light.jpg,143.27207324866674,159.98946301610923,146.18456735993007,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1068.jpg,126.24353288769211,161.36178454309965,168.20116908646173,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1040.jpg,122.90355487777673,150.60779734347443,143.46520330740321,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_0996_dark.jpg,93.78405822205426,161.42270475416248,155.20927872981756,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_0997_dark.jpg,95.68009060780948,183.2427672699095,177.53773212120495,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1054.jpg,95.14142194783005,175.65459975946396,174.96573936287479,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1115_light.jpg,124.90008232749118,173.37404074284035,175.39243517140653,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1053_light.jpg,125.88674630731923,169.92606034987298,176.92779916750652,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1008_light.jpg,119.97401123354435,169.28810644145776,172.8904743369184,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1111_dark.jpg,82.622697897639,173.67251931636852,172.35598200507056,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1110_dark.jpg,81.37167983512849,171.19203006241077,171.5182363840598,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1055.jpg,117.90589519951499,156.8845750202087,157.47585732788485,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1134_light.jpg,105.75330212138869,169.30791793955237,160.4050994819224,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1041.jpg,116.98046546936676,151.59725658685542,146.447650525295,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1072_light.jpg,149.17294522457902,167.09247875461912,170.52492182250987,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1069.jpg,128.05470111462796,158.6604261640999,165.93551177222432,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1019_dark.jpg,87.81477315077265,175.8753889190707,174.47040327512178,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1096.jpg,112.00517642917507,151.20976565780634,151.25186102122177,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1082.jpg,110.52145829396574,145.2119201316715,156.1460135221141,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1018_dark.jpg,86.35831002443416,175.63244277263374,173.87250565253106,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1121.jpg,101.47622180623793,172.25428204653775,174.09517018613002,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1135.jpg,104.00536350728564,173.95576295718905,161.1732435981723,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1109.jpg,100.26348504293692,171.3737001310941,173.26163296144074,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1066_light.jpg,149.8471502943384,166.02880026914315,171.27206586724196,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1120_light.jpg,142.87986304668473,174.3995433194497,182.0040984130921,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_0997.jpg,119.8841644489586,183.1815496694434,180.01574146248007,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1050_dark.jpg,88.09379683103951,175.73777193168934,174.55126694775132,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1051_dark.jpg,82.41341121228584,173.07761600975266,171.93400292698098,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1064_dark.jpg,98.5881888345616,151.4467990369373,147.75903642224637,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1065_dark.jpg,97.64591551319602,151.90380797863128,149.87170558809945,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_1083_light.jpg,131.37260817231984,144.6688831445001,155.19011171212313,0.0
/Users/rishimanimaran/Documents/College/junior-year/fall-2024/cs-3311/JDA-4307-Color-Verification/Images/Cherry/3422 - Medium Cherry/IMG_0995.jpg,117.6930762563513,161.42513307888743,154.92226088448496,0.0
